Aspect,Component A,Component B
Aer,N/A,N/A
Alienis,Vacuos,Tenebrae
Aqua,N/A,N/A
Arbor,Aer,Herba
Auram,Praecantatio,Aer
Bestia,Motus,Victus
Cognito,Terra,Spiritus
Corpus,Mortuus,Bestia
Exanimis,Motus,Mortuus
Fabrico,Humanus,Instrumentum
Fames,Victus,Vacuos
Gelum,Ignis,Perditio
,,
Herba,Victus,Terra
Humanus,Bestia,Cognito
Ignis,N/A,N/A
Instrumentum,Humanus,Ordo
Iter,Motus,Terra
Limus,Victus,Aqua
Lucrum,Humanus,Fames
Lux,Aer,Ignis
Machina,Motus,Instrumentum
Messis,Herba,Humanus
Metallum,Terra,Vitreus
Meto,Messis,Instrimentum
Mortuus,Victus,Perditio
Motus,Aer,Ordo
Ordo,N/A,N/A
Pannus,Instrumentum,Bestia
Perditio,N/A,N/A
Perfodio,Humanus,Terra
Permutatio,Perditio,Ordo
Potentia,Ordo,Ignis
Praecantatio,Vacuos,Potentia
Sano,Victus,Ordo
,,
Sensus,Aer,Spiritus
Spiritus,Victus,Mortuus
Telum,Instrumentum,Perditio
Tempestas,Aer,Aqua
,,
Tenebrae,Vacuos,Lux
Terra,N/A,N/A
Tutamen,Instrumentum,Terra
Vacuos,Aer,Perditio
Venenum,Aqua,Perditio
Victus,Aqua,Terra
Vinculum,Motus,Perditio
,,
Vitreus,Terra,Ordo
Volatus,Aer,Motus
